number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
403,20.4,3.9,148.9,17,0,0,0
3650,77.3,18.6,815.4,47,15,0.32,0.76
48,19.5,3,96,2,0,0,0
846,10.8,2.2,66.2,64,0,0,0
2900,9.1,2,90.3,276,0,0,0
,,,,,,,
2461,9,3.4,57.6,269,10,0.04,0.17
402,10.9,4.6,96.5,26,1,0.04,0.21
1689,47.5,13,345,34,9,0.26,0.67
91,26,4.3,224.3,3,0,0,0
133,8.5,2.1,52.5,11,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
2461,9,3.4,57.6,269,10,0.04,0.17
1689,47.5,13,345,34,9,0.26,0.67
2461,9,3.4,57.6,269,10,0.04,0.17
3808,42.2,7.7,479.7,83,15,0.18,0.47
90,4.6,1.1,39.7,18,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
402,10.9,4.6,96.5,26,1,0.04,0.21
900,21.2,4.8,125.6,39,1,0.03,0.06
2461,9,3.4,57.6,269,10,0.04,0.17
900,21.2,4.8,125.6,39,1,0.03,0.06
955,18.8,3,177.1,9,0,0,0
722,46.1,10.5,386.1,15,4,0.27,0.61
4120,29.1,6.5,247.7,137,19,0.14,0.49
2461,9,3.4,57.6,269,10,0.04,0.17
23,19,1,248,1,0,0,0
2336,10.7,2.4,73.4,216,0,0,0
173,26.6,3.4,211,5,0,0,0
79,24.7,5.7,241.3,3,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
90,4.6,1.1,39.7,18,0,0,0
199,0,0,0,1,0,0,0
1151,16.1,5.3,128,56,4,0.07,0.5
2461,9,3.4,57.6,269,10,0.04,0.17
281,26.2,5.4,295.7,10,0,0,0
166,10.3,1.4,92.4,14,0,0,0
199,0,0,0,1,0,0,0
102,12.7,1.7,146.7,3,0,0,0
79,17.7,3.3,182.3,3,0,0,0
293,15.3,4.9,121.9,18,2,0.11,0.39
293,15.3,4.9,121.9,18,2,0.11,0.39
367,11.6,2.5,73.3,27,0,0,0
149,13.4,2.3,121.1,10,0,0,0
218,22.7,2.2,209.1,9,0,0,0
3536,26.8,5.7,326.1,116,9,0.08,0.35
873,28.3,4,238.6,30,2,0.07,0.42
2461,9,3.4,57.6,269,10,0.04,0.17
857,25.3,9.3,206.5,33,7,0.21,0.55
2336,10.7,2.4,73.4,216,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
487,41.3,5.1,367.3,11,0,0,0
492,12.6,4.2,87.4,37,2,0.05,0.23
1259,24.5,8.1,215.9,46,6,0.13,0.29
772,5.6,1.6,32.2,99,0,0,0
466,20.5,5.7,218.1,22,1,0.05,0.22
587,21.8,2.2,191.2,25,0,0,0
480,12.5,2.9,121.2,35,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
1048,33.1,3.5,366.8,29,1,0.03,0.28
66,0,0,0,1,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
2461,9,3.4,57.6,269,10,0.04,0.17
482,21,5.1,171,21,1,0.05,0.39
293,24.5,7.8,276.8,11,2,0.18,0.29
131,10.1,1.2,86.3,12,0,0,0
359,8.4,2.6,65.8,41,0,0,0
397,19.2,5.4,121.8,19,2,0.11,0.43
