pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
32432,spring-framework,52,44,2,12,1,,2,FALSE,7,0,FALSE,1,114.23333333333333,,0,0,1.5319047619047619,,"No major code quality issues found.
No major code quality issues found.",great
32425,spring-framework,23,107,6,23,37,,1,FALSE,1,0,FALSE,5,74.5,,0,0,0.10714285714285714,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",best
32413,spring-framework,24,0,4,8,10,0.23944444444444443,1,FALSE,0,0,TRUE,68,175.1,,0,0,0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32412,spring-framework,74,1145,2,133,1,,1,FALSE,3,0,FALSE,4,89.96666666666667,,0,0,0.3263888888888889,,"No major code quality issues found.
No major code quality issues found.",best
32405,spring-framework,58,275,1,19,12,,1,FALSE,3,0,FALSE,18,155.3,,0,0,0.3916666666666667,,No major code quality issues found.,good
32403,spring-framework,11,775,22,51,51,,4,FALSE,0,0,FALSE,2,136.46666666666667,,0,0,0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",best
32398,spring-framework,42,623,1,1,1,,1,FALSE,3,0,FALSE,0,87.76666666666667,,0,0,0.1595238095238095,,No major code quality issues found.,best
32397,spring-framework,9,0,1,1,1,,1,FALSE,0,0,FALSE,68,175,,0,0,0,,No major code quality issues found.,best
32387,spring-framework,46,284,1,22,16,,2,FALSE,4,0,FALSE,0,48.666666666666664,,0,0,0.26071428571428573,,No major code quality issues found.,best
32386,spring-framework,47,12,2,51,1,,1,FALSE,1,0,FALSE,68,174.96666666666667,,0,0,0.35,,"No major code quality issues found.
No major code quality issues found.",great
32380,spring-framework,96,140,1,2,2,,1,FALSE,1,0,FALSE,68,174.93333333333334,,0,0,0.18333333333333335,,No major code quality issues found.,not bad
32377,spring-framework,35,214,3,4,4,,1,FALSE,1,0,FALSE,5,74.26666666666667,,0,0,0.11666666666666665,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",not bad
32373,spring-framework,57,660,1,4,2,,1,FALSE,3,0,FALSE,0,28.966666666666665,,0,0,-0.15,,No major code quality issues found.,not bad
32371,spring-framework,42,186,1,13,0,,1,FALSE,0,0,FALSE,0,66.4,,0,0,0,,No major code quality issues found.,best
32367,spring-framework,49,317,1,1,1,1.725,1,FALSE,1,0,TRUE,5,74.26666666666667,,0,0,0.5375,,No major code quality issues found.,best
32348,spring-framework,54,0,2,19,2,3.2430555555555554,1,FALSE,0,0,TRUE,68,174.76666666666668,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",great
32347,spring-framework,54,0,1,31,0,3.361111111111111,1,FALSE,0,0,TRUE,68,174.76666666666668,,0,0,0,,No major code quality issues found.,good
32318,spring-framework,47,469,2,17,8,,1,FALSE,3,0,FALSE,18,154.76666666666668,,0,0,0.30654761904761907,,"No major code quality issues found.
No major code quality issues found.",medium
32316,spring-framework,17,0,7,8,8,5.724166666666667,1,FALSE,0,0,TRUE,3,97.13333333333334,,0,0,0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32313,spring-framework,17,0,8,8,8,1.538888888888889,2,FALSE,1,0,TRUE,3,97.13333333333334,,0,0,0.25,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32308,spring-framework,71,0,2,45,76,7.710555555555556,1,FALSE,0,0,TRUE,68,174.5,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",not bad
32302,spring-framework,79,93,12,214,6,,2,FALSE,3,1,FALSE,68,174.46666666666667,,0.096666667,0,0.072073413,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32301,spring-framework,80,32,2,19,5,,1,FALSE,1,0,FALSE,68,174.46666666666667,,0,0,0.2875,,"No major code quality issues found.
No major code quality issues found.",good
32294,spring-framework,48,179,14,16,29,,1,FALSE,2,1,FALSE,18,154.66666666666666,,42.99027777777778,0,0.18333333333333335,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",best
32291,spring-framework,63,395,47,114,75,,1,FALSE,6,2,FALSE,18,154.63333333333333,,162.48,0,0.43333333333333335,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",best
32281,spring-framework,90,470,2,2,4,,1,FALSE,0,1,FALSE,18,154.53333333333333,,7.668333333333333,1,0,,"No major code quality issues found.
No major code quality issues found.",best
