number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
45.0,3.4,1.1,17.1,9.0,0.0,0.0,0.0,the best
111.0,10.2,2.2,60.1,8.0,0.0,0.0,0.0,great
73.0,10.7,1.3,80.3,3.0,0.0,0.0,0.0,good
64.0,10.8,1.2,121.0,4.0,0.0,0.0,0.0,good
53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
25.0,12.0,3.0,104.0,1.0,0.0,0.0,0.0,good
317.0,6.2,1.0,45.3,40.0,0.0,0.0,0.0,good
30.0,6.3,2.3,45.0,3.0,0.0,0.0,0.0,best
287.0,24.3,1.0,204.6,9.0,0.0,0.0,0.0,medium
21.0,3.0,1.0,16.0,5.0,0.0,0.0,0.0,the best
43.0,12.0,5.3,97.3,3.0,0.0,0.0,0.0,good
458.0,5.6,1.0,43.2,40.0,0.0,0.0,0.0,good
181.0,6.8,1.0,57.6,21.0,0.0,0.0,0.0,great
276.0,9.5,2.5,50.6,24.0,1.0,0.04,0.42,not bad
208.0,20.0,1.0,221.9,9.0,0.0,0.0,0.0,medium
186.0,8.4,1.1,78.1,14.0,0.0,0.0,0.0,good
259.0,6.8,1.0,68.1,29.0,0.0,0.0,0.0,great
226.0,15.9,4.5,108.6,10.0,1.0,0.1,0.39,not bad
206.0,9.6,1.1,84.7,17.0,0.0,0.0,0.0,good
180.0,11.5,1.0,114.3,12.0,0.0,0.0,0.0,good
92.0,5.5,1.0,49.8,12.0,0.0,0.0,0.0,best
205.0,7.0,1.1,63.6,20.0,0.0,0.0,0.0,great
211.0,8.4,1.0,81.8,20.0,0.0,0.0,0.0,good
213.0,9.3,1.0,104.2,18.0,0.0,0.0,0.0,good
81.0,3.5,1.2,22.9,14.0,0.0,0.0,0.0,best
91.0,4.3,1.4,21.5,13.0,0.0,0.0,0.0,best
274.0,8.2,1.1,71.3,23.0,0.0,0.0,0.0,great
132.0,4.2,1.1,22.1,21.0,0.0,0.0,0.0,best
61.0,4.9,1.4,35.8,8.0,0.0,0.0,0.0,best
198.0,6.6,2.3,45.2,23.0,0.0,0.0,0.0,great
198.0,6.6,2.3,45.2,23.0,0.0,0.0,0.0,great
81.0,10.3,1.0,83.8,6.0,0.0,0.0,0.0,good
32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
274.0,8.2,1.1,71.3,23.0,0.0,0.0,0.0,great
322.0,6.7,1.0,43.6,35.0,0.0,0.0,0.0,good
191.0,10.6,3.3,75.1,15.0,0.0,0.0,0.0,great
144.0,3.0,1.0,17.1,7.0,0.0,0.0,0.0,the best
306.0,10.4,2.3,83.6,24.0,0.0,0.0,0.0,good
204.0,4.4,1.0,43.0,26.0,0.0,0.0,0.0,great
370.0,10.3,1.0,122.2,30.0,0.0,0.0,0.0,good
113.0,9.6,1.0,82.5,8.0,0.0,0.0,0.0,good
49.0,9.7,2.3,85.0,3.0,0.0,0.0,0.0,good
376.0,9.4,1.4,95.3,34.0,0.0,0.0,0.0,good
119.0,5.9,1.5,41.1,16.0,0.0,0.0,0.0,best
229.0,5.8,1.0,46.9,29.0,0.0,0.0,0.0,great
74.0,3.0,1.0,14.7,7.0,0.0,0.0,0.0,the best
665.0,16.9,4.6,113.9,35.0,3.0,0.09,0.41,not bad
15.0,3.0,1.0,20.7,3.0,0.0,0.0,0.0,the best
9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
129.0,4.2,1.5,26.6,24.0,0.0,0.0,0.0,great
109.0,12.8,5.0,104.8,4.0,0.0,0.0,0.0,good
2703.0,52.5,17.8,308.8,51.0,10.0,0.2,0.79,not bad
30.0,3.0,1.0,14.0,1.0,0.0,0.0,0.0,the best
306.0,5.4,1.6,47.9,41.0,1.0,0.02,0.12,not bad
27.0,5.0,1.3,24.7,3.0,0.0,0.0,0.0,the best
334.0,9.3,1.0,54.6,25.0,0.0,0.0,0.0,great
465.0,8.5,2.2,58.3,44.0,0.0,0.0,0.0,good
266.0,7.6,1.0,51.8,26.0,0.0,0.0,0.0,great
34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
66.0,9.0,1.0,80.7,6.0,0.0,0.0,0.0,good
79.0,5.2,1.0,49.0,11.0,0.0,0.0,0.0,best
70.0,7.0,1.0,52.7,6.0,0.0,0.0,0.0,best
136.0,11.0,1.2,134.8,9.0,0.0,0.0,0.0,good
323.0,5.6,1.7,30.8,45.0,0.0,0.0,0.0,good
693.0,9.8,2.2,68.4,58.0,0.0,0.0,0.0,medium
270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
30.0,6.7,1.0,77.3,3.0,0.0,0.0,0.0,good
21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
132.0,4.8,1.2,32.2,18.0,0.0,0.0,0.0,best
830.0,15.3,3.8,104.8,45.0,1.0,0.02,0.14,not bad
695.0,6.0,1.0,63.9,87.0,0.0,0.0,0.0,medium
334.0,9.3,1.0,54.6,25.0,0.0,0.0,0.0,great
1227.0,8.8,2.0,59.7,120.0,0.0,0.0,0.0,not bad
117.0,4.4,1.0,30.2,16.0,0.0,0.0,0.0,best
629.0,7.1,1.0,70.1,66.0,0.0,0.0,0.0,medium
719.0,8.1,1.9,53.9,73.0,0.0,0.0,0.0,medium
682.0,7.0,2.1,50.9,75.0,1.0,0.01,0.13,not bad
254.0,6.2,1.0,55.2,29.0,0.0,0.0,0.0,great
754.0,4.7,1.0,35.5,117.0,0.0,0.0,0.0,not bad
299.0,5.4,1.0,40.9,33.0,0.0,0.0,0.0,great
437.0,6.5,1.9,40.1,54.0,0.0,0.0,0.0,good
638.0,7.8,1.0,77.5,69.0,0.0,0.0,0.0,medium
202.0,5.7,1.6,35.7,26.0,0.0,0.0,0.0,great
149.0,5.1,1.0,36.0,21.0,0.0,0.0,0.0,best
147.0,5.5,1.6,28.9,22.0,0.0,0.0,0.0,best
266.0,8.5,2.2,51.8,26.0,0.0,0.0,0.0,great
266.0,8.5,2.2,51.8,26.0,0.0,0.0,0.0,great
52.0,4.6,1.2,32.0,8.0,0.0,0.0,0.0,the best
240.0,8.6,1.0,88.5,24.0,0.0,0.0,0.0,good
229.0,5.5,1.5,35.6,29.0,0.0,0.0,0.0,great
584.0,7.8,2.3,50.6,61.0,0.0,0.0,0.0,medium
162.0,4.2,1.2,24.4,29.0,0.0,0.0,0.0,great
74.0,3.0,1.0,14.7,7.0,0.0,0.0,0.0,the best
680.0,8.1,1.2,95.1,72.0,0.0,0.0,0.0,medium
937.0,4.5,1.0,42.4,158.0,0.0,0.0,0.0,not bad
224.0,14.2,1.1,133.3,13.0,0.0,0.0,0.0,good
158.0,8.8,2.5,50.4,13.0,0.0,0.0,0.0,best
83.0,4.8,1.9,30.7,13.0,0.0,0.0,0.0,best
130.0,5.2,1.0,42.4,15.0,0.0,0.0,0.0,best
652.0,5.9,1.0,49.4,89.0,0.0,0.0,0.0,medium
349.0,11.3,3.4,77.6,26.0,1.0,0.04,0.19,not bad
672.0,9.7,3.2,67.0,64.0,1.0,0.02,0.1,not bad
264.0,6.1,1.0,55.3,30.0,0.0,0.0,0.0,great
91.0,10.1,1.0,110.7,7.0,0.0,0.0,0.0,good
46.0,10.0,1.0,114.5,2.0,0.0,0.0,0.0,good
19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
366.0,16.8,1.0,175.6,20.0,0.0,0.0,0.0,medium
47.0,4.1,1.5,27.1,8.0,0.0,0.0,0.0,the best
333.0,5.9,1.0,48.8,34.0,0.0,0.0,0.0,good
266.0,7.6,1.0,51.8,26.0,0.0,0.0,0.0,great
352.0,8.9,1.0,81.3,34.0,0.0,0.0,0.0,good
372.0,4.6,1.4,27.3,59.0,0.0,0.0,0.0,medium
222.0,5.8,1.4,45.5,20.0,0.0,0.0,0.0,best
222.0,5.8,1.4,45.5,20.0,0.0,0.0,0.0,best
545.0,6.7,1.0,49.4,64.0,0.0,0.0,0.0,medium
557.0,19.1,1.1,239.3,27.0,0.0,0.0,0.0,medium
235.0,12.4,1.1,113.5,13.0,0.0,0.0,0.0,good
549.0,9.6,2.9,57.4,48.0,1.0,0.02,0.25,not bad
14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
100.0,5.8,1.5,26.6,13.0,0.0,0.0,0.0,best
130.0,5.2,1.0,42.4,15.0,0.0,0.0,0.0,best
,,,,,,,,the best
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
115.0,6.2,1.7,47.9,12.0,0.0,0.0,0.0,best
23.0,4.3,1.0,30.0,3.0,0.0,0.0,0.0,the best
419.0,5.7,2.0,42.1,58.0,0.0,0.0,0.0,medium
66.0,54.0,1.0,825.0,1.0,0.0,0.0,0.0,worst
255.0,5.9,1.0,53.2,28.0,0.0,0.0,0.0,great
232.0,6.1,2.5,40.6,35.0,0.0,0.0,0.0,good
165.0,7.1,1.0,33.3,9.0,0.0,0.0,0.0,best
273.0,8.4,1.0,73.4,27.0,0.0,0.0,0.0,great
761.0,15.1,1.1,126.7,44.0,0.0,0.0,0.0,good
315.0,9.1,2.5,68.6,27.0,0.0,0.0,0.0,great
761.0,15.1,1.1,126.7,44.0,0.0,0.0,0.0,good
